fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Replacement,yrump.com,72.52.4.120,,localhost,ns1.sedoparking.com,United States,2015-08-17T00:00:00,2016-11-04T00:00:00,0
Replacement,trymp.com,141.8.225.67,,,sk.s5.cm.ns1.88.ztomy.com,Switzerland,2011-09-28T00:00:00,2016-10-06T00:00:00,0
Replacement,t4ump.com,,,,,,,,
Replacement,trujp.com,,,,,,,,
Replacement,tr7mp.com,,,,,,,,
Replacement,tfump.com,,,,,,,,
Replacement,5rump.com,,,,,,,,
Replacement,rrump.com,72.52.4.119,,localhost,ns1.sedoparking.com,United States,2015-08-17T00:00:00,2016-11-04T00:00:00,0
Replacement,trjmp.com,,,,,,,,
Replacement,trhmp.com,,,,,,,,
Replacement,tdump.com,217.160.122.224,,tdump.com,ns17.schlund.de,Germany,2004-02-28T00:00:00,2016-02-29T00:00:00,
Replacement,t5ump.com,,,,,,,,
Replacement,frump.com,63.247.142.242,,frump.com,ns.hmdnsgroup.com,United States,1998-12-11T00:00:00,2016-11-16T00:00:00,
Replacement,ttump.com,107.180.60.78,,mail.ttump.com,ns01.domaincontrol.com,United States,2016-11-18T00:00:00,2016-11-18T00:00:00,0
Replacement,trupp.com,184.168.221.29,,smtp.secureserver.net,ns57.domaincontrol.com,United States,1998-10-03T00:00:00,2016-11-15T00:00:00,0
Replacement,trukp.com,,,,,,,,
Replacement,trimp.com,176.74.176.187,,,ns1.uniregistrymarket.link,United Kingdom,2005-07-29T00:00:00,2016-08-16T00:00:00,0
Subdomain,t.rump.com,184.168.221.104,,,ns1.afternic.com,United States,1997-11-12T00:00:00,2016-10-31T00:00:00,0
Subdomain,tr.ump.com,,,,,,,,
Subdomain,tru.mp.com,,,,,,,,
Subdomain,trum.p.com,,,,,,,,
Transposition,rtump.com,,,,,,,,
Transposition,turmp.com,,,,,,,,
Transposition,trmup.com,184.168.221.104,,,ns1.afternic.com,United States,2016-05-09T00:00:00,2016-05-12T00:00:00,0
Transposition,trupm.com,69.172.201.153,,,ns1.uniregistrymarket.link,United States,2005-02-21T00:00:00,2016-02-02T00:00:00,0
Various,wwtrump.com,,,,,,,,
Various,wwwtrump.com,185.53.179.8,,,ns1.parkingcrew.net,Germany,2015-08-17T00:00:00,2016-10-25T00:00:00,0
Various,www-trump.com,50.63.202.60,,smtp.secureserver.net,ns21.domaincontrol.com,United States,2015-09-27T00:00:00,2016-09-27T00:00:00,0
Various,trumpcom.com,184.168.221.38,,smtp.secureserver.net,ns73.domaincontrol.com,United States,2015-11-27T00:00:00,2015-11-27T00:00:00,
Dictionary,trump-auth.com,,,,,,,,
Dictionary,trumpauth.com,,,,,,,,
Dictionary,auth-trump.com,,,,,,,,
Dictionary,authtrump.com,,,,,,,,
Dictionary,trump-download.com,,,,,,,,
Dictionary,trumpdownload.com,,,,,,,,
Dictionary,download-trump.com,,,,,,,,
Dictionary,downloadtrump.com,50.63.202.42,,smtp.secureserver.net,ns07.domaincontrol.com,United States,2008-01-14T00:00:00,2016-06-29T00:00:00,0
Dictionary,trump-install.com,,,,,,,,
Dictionary,trumpinstall.com,,,,,,,,
Dictionary,install-trump.com,,,,,,,,
Dictionary,installtrump.com,,,,,,,,
Dictionary,trump-login.com,,,,,,,,
Dictionary,trumplogin.com,,,,,,,,
Dictionary,login-trump.com,,,,,,,,
Dictionary,logintrump.com,,,,,,,,
Dictionary,trump-online.com,184.168.221.60,,smtp.secureserver.net,ns09.domaincontrol.com,United States,2016-01-08T00:00:00,2016-11-23T00:00:00,0
Dictionary,trumponline.com,50.63.202.28,,smtp.secureserver.net,ns45.domaincontrol.com,United States,1999-03-02T00:00:00,2016-06-29T00:00:00,99
Dictionary,online-trump.com,,,,,,,,
Dictionary,onlinetrump.com,50.63.202.52,,smtp.secureserver.net,ns57.domaincontrol.com,United States,2016-11-09T00:00:00,2016-11-09T00:00:00,0
Dictionary,trump-register.com,,,,,,,,
Dictionary,trumpregister.com,,,,,,,,
Dictionary,register-trump.com,,,,,,,,
Dictionary,registertrump.com,184.168.221.7,,smtp.secureserver.net,ns67.domaincontrol.com,United States,2016-08-31T00:00:00,2016-09-01T00:00:00,0
Dictionary,trump-ssl.com,,,,,,,,
Dictionary,trumpssl.com,,,,,,,,
Dictionary,ssl-trump.com,,,,,,,,
Dictionary,ssltrump.com,,,,,,,,
Dictionary,trump-secure.com,,,,,,,,
Dictionary,trumpsecure.com,184.168.221.96,,smtp.secureserver.net,ns01.cashparking.com,United States,2015-12-09T00:00:00,2016-12-10T00:00:00,0
Dictionary,secure-trump.com,,,,,,,,
Dictionary,securetrump.com,,,,,,,,
Dictionary,trump-security.com,,,,,,,,
Dictionary,trumpsecurity.com,50.63.202.52,,smtp.secureserver.net,ns21.domaincontrol.com,United States,2012-10-01T00:00:00,2016-10-02T00:00:00,
Dictionary,security-trump.com,,,,,,,,
Dictionary,securitytrump.com,,,,,,,,
Dictionary,trump-support.com,,,,,,,,
Dictionary,trumpsupport.com,143.95.231.7,,trumpsupport.com,dns.site5.com,United States,2007-02-05T00:00:00,2016-02-16T00:00:00,0
Dictionary,support-trump.com,50.62.121.1,,smtp.secureserver.net,ns21.domaincontrol.com,United States,2015-09-29T00:00:00,2016-09-29T00:00:00,0
Dictionary,supporttrump.com,184.168.221.50,,smtp.secureserver.net,ns71.domaincontrol.com,United States,2015-07-13T00:00:00,2016-07-13T00:00:00,0
Dictionary,trump-update.com,,,,,,,,
Dictionary,trumpupdate.com,50.63.202.62,,smtp.secureserver.net,ns15.domaincontrol.com,United States,2012-01-24T00:00:00,2016-06-29T00:00:00,0
Dictionary,update-trump.com,,,,,,,,
